hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
meanrev:filter:mr_long_fail_trend,meanrev,filter,mr_long_fail_trend,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,1,47,2,0.04807597634308476,0.05020053271528788,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:mr_long_fail_slow_ema,meanrev,filter,mr_long_fail_slow_ema,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,47,78,-0.003923976513831775,-0.002168762721401419,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:mr_long_fail_oversold,meanrev,filter,mr_long_fail_oversold,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,47,1281,-0.022522994628670436,-0.02238133417973538,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:mr_long_fail_rsi_cross,meanrev,filter,mr_long_fail_rsi_cross,MIXED,Single-blocker minus approved pure mean forward return; observational association,-1,47,151,-0.006799554840101293,-0.0028640709560052817,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:mr_long_fail_candle,meanrev,filter,mr_long_fail_candle,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,-1,47,10,-0.015758794162208024,-0.0034458756432138547,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:long_fail_direction,meanrev,filter,long_fail_direction,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,47,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:long_fail_volatility,meanrev,filter,long_fail_volatility,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,47,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:long_fail_candle,meanrev,filter,long_fail_candle,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,-1,47,6,-0.013408863005941527,-0.011284306633738405,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:long_fail_session,meanrev,filter,long_fail_session,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,47,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:filter:long_fail_confirmed,meanrev,filter,long_fail_confirmed,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,47,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
meanrev:feature:rsi,meanrev,feature,rsi,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.013141264066477545,0.008514317451176548,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:rsi_distance_from_avg,meanrev,feature,rsi_distance_from_avg,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,10,10,-0.020066940947962995,-0.025212983625442276,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:htf_adx,meanrev,feature,htf_adx,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.0064422739390610495,0.005027682435314623,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:adx_margin,meanrev,feature,adx_margin,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.0064422739390610495,0.005027682435314623,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:ema_spread_pct,meanrev,feature,ema_spread_pct,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.024044747802660627,0.020885256317429282,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:atr_pct,meanrev,feature,atr_pct,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.020248505959643195,0.01817517057834654,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:candle_range_atr,meanrev,feature,candle_range_atr,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.018951706976392,0.02214976734424519,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:volume_ratio,meanrev,feature,volume_ratio,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.04914201272807254,0.07137064770102271,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:distance_to_breakout_atr,meanrev,feature,distance_to_breakout_atr,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,10,10,-0.03712791491766707,-0.03318423700878839,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:bb_width,meanrev,feature,bb_width,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.02542248934463004,0.023035217791548088,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:distance_to_squeeze_pct,meanrev,feature,distance_to_squeeze_pct,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.0075242348298525386,0.015024498746792736,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:distance_to_upper_band_atr,meanrev,feature,distance_to_upper_band_atr,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,10,10,0.0037203832896172406,0.0016632404914707494,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:bars_since_rsi_up,meanrev,feature,bars_since_rsi_up,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,0,47,0,,,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:bars_since_oversold,meanrev,feature,bars_since_oversold,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,1,20,8,0.045437593412963814,0.04258651445831287,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
meanrev:feature:bars_since_squeeze,meanrev,feature,bars_since_squeeze,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,9,8,-0.03109941792364406,-0.03109941792364406,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
